Id,Designator,Footprint,Quantity,Designation,Manufacturer 1,Manufacturer Part Number 1
1,"J6,J4",JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,2,SM02B-GHS,JST,SM02B-GHS
2,C29,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,10uF 50V,Murata,GRM21BR61H106KE43L
3,"C30,C7",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2,10uF 10V,Murata,GRM155R61A106ME11D
4,"C1,C28,C5,C27,C24,C26,C17,C20,C22,C11,C8,C10,C9,C3,C18,C31,C4",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,17,100nF 50V,Yageo,CC0402KRX5R9BB104
5,"C2,C25,C19",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,3,1uF 50V,Taiyo Yuden,UMK105CBJ105MV-F
6,U4,Traco_TSR 3-2450N,1,TSR 3-2450N,Traco Power,TSR 3-2450N
7,U1,MP6550GG,1,MP6550,Monolithic Power Systems Inc.,MP6550GG
8,U5,RTL8152B,1,RTL8152B,Realtek,RTL8152B
9,R3,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,2kΩ 1%,Vishay Dale,CRCW04022K00FKED
10,"R2,R21,R19,R1,R18,R20,R4,R5,R12",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,9,10kΩ 5%,Yageo,RC0402JR-0710KL
12,"R14,R13",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,75Ω 1%,Yageo,RC0402FR-0775RL
13,"C21,C23",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2,4.7uF 16V,Samsung Electro-Mechanics,CL05A475MO5NUNC
14,C12,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,1nF 2kV,Samsung Electro-Mechanics,CL31B102KJHNNNE
15,"C15,C6",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2,470nF 50V,Taiyo Yuden,UMK105ABJ474KV-F
16,J1,Amphenol_95157-440LF_2x20_P2.54mm_Vertical,1,95157-440LF,Amphenol ICC (FCI),95157-440LF
17,C16,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,10nF 50V,Yageo,CC0402KRX7R9BB103
18,R22,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,2.49kΩ 1%,Vishay Dale,CRCW04022K49FKED
19,"J2,J3,J5",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,3,SM04B-GHS,JST,SM04B-GHS
21,U2,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,Texas Instruments,ADS1115IDGS
22,FB1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,120Ω @ 100MHz,Murata,BLM15PD121SN1D
23,"C14,C13",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2,27pF 50V,Murata,GRM1555C1H270JA01J
24,"R10,R7",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,200Ω 1%,Vishay Dale,CRCW0603200RFKEA
25,"R8,R9,R11,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,4,91Ω 1%,Yageo,RC0603FR-0791RL
26,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8G-25.000MHZ-18-D2Y-T,Abracon LLC,ABM8G-25.000MHZ-18-D2Y-T
27,U6,TS8121CM HF,1,TS8121CMHF,Pulse Electronics,TS8121CM HF
28,U3,LGA-28_5.2x3.8mm_P0.5mm,1,BNO085,"CEVA Technologies, Inc.",BNO085
29,"LED2,LED1",19-337C RSBHGHC-A88 4T,2,19-337C/RSBHGHC-A88/4T,Everlight Electronics Co Ltd,19-337C/RSBHGHC-A88/4T
