Id,Comment,Designator,Footprint,Quantity,Manufacturer 1,Manufacturer Part Number 1,JLPCB Part Number
1,SM02B-GHS,"J6,J4",JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,2,JST,SM02B-GHS,C189893
2,10uF 50V,C29,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,Murata,GRM21BR61H106KE43L,C440198
3,10uF 10V,"C30,C7",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2,Murata,GRM155R61A106ME11D,C408132
4,100nF 50V,"C1,C28,C5,C27,C24,C26,C17,C20,C22,C11,C8,C10,C9,C3,C18,C31,C4",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,17,Yageo,CC0402KRX5R9BB104,C105882
5,1uF 50V,"C2,C25,C19",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,3,Taiyo Yuden,UMK105CBJ105MV-F,C2880413
6,TSR 3-2450N,U4,Traco_TSR 3-2450N,1,Traco Power,TSR 3-2450N,C5198099
7,MP6550,U1,MP6550GG,1,Monolithic Power Systems Inc.,MP6550GG,C3681248
8,RTL8152B,U5,RTL8152B,1,Realtek,RTL8152B,C50656
9,2kΩ 1%,R3,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,Vishay Dale,CRCW04022K00FKED,C482125
10,10kΩ 5%,"R2,R21,R19,R1,R18,R20,R4,R5,R12",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,9,Yageo,RC0402JR-0710KL,C60489
12,75Ω 1%,"R14,R13",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,Yageo,RC0402FR-0775RL,C114757
13,4.7uF 16V,"C21,C23",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2,Samsung Electro-Mechanics,CL05A475MO5NUNC,C318563
14,1nF 2kV,C12,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,Samsung Electro-Mechanics,CL31B102KJHNNNE,C16196254
15,470nF 50V,"C15,C6",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2,Taiyo Yuden,UMK105ABJ474KV-F,C386109
16,95157-440LF,J1,Amphenol_95157-440LF_2x20_P2.54mm_Vertical,1,Amphenol ICC (FCI),95157-440LF,C5411221
17,10nF 50V,C16,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,Yageo,CC0402KRX7R9BB103,C60133
18,2.49kΩ 1%,R22,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,Vishay Dale,CRCW04022K49FKED,C482132
19,SM04B-GHS,"J2,J3,J5",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,3,JST,SM04B-GHS,C189895
21,ADS1115IDGS,U2,TSSOP-10_3x3mm_P0.5mm,1,Texas Instruments,ADS1115IDGS,C37593
22,120Ω @ 100MHz,FB1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,Murata,BLM15PD121SN1D,C76891
23,27pF 50V,"C14,C13",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2,Murata,GRM1555C1H270JA01J,C3892269
24,200Ω 1%,"R10,R7",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,Vishay Dale,CRCW0603200RFKEA,C844754
25,91Ω 1%,"R8,R9,R11,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,4,Yageo,RC0603FR-0791RL,C137670
26,ABM8G-25.000MHZ-18-D2Y-T,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Abracon LLC,ABM8G-25.000MHZ-18-D2Y-T,C2939753
27,TS8121CMHF,U6,TS8121CM HF,1,Pulse Electronics,TS8121CM HF,C5718404
28,BNO085,U3,LGA-28_5.2x3.8mm_P0.5mm,1,"CEVA Technologies, Inc.",BNO085,C5189642
29,19-337C/RSBHGHC-A88/4T,"LED2,LED1",19-337C RSBHGHC-A88 4T,2,Everlight Electronics Co Ltd,19-337C/RSBHGHC-A88/4T,C3019536
