Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C3","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",139.800000,-107.000000,90.000000,bottom
"C4","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",139.700000,-124.500000,90.000000,bottom
"C7","10uF 10V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.900000,-127.567500,-90.000000,bottom
"C8","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.900000,-125.600000,-90.000000,bottom
"C9","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",152.900000,-116.400000,180.000000,bottom
"C10","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",153.200000,-122.500000,0.000000,bottom
"C11","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.900000,-119.500000,0.000000,bottom
"C13","27pF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",145.632500,-111.400000,180.000000,bottom
"C14","27pF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",145.632500,-106.100000,0.000000,bottom
"C18","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.667500,-107.500000,0.000000,bottom
"C19","1uF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.667500,-106.400000,0.000000,bottom
"C22","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.667500,-109.700000,0.000000,bottom
"C23","4.7uF 16V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.667500,-108.600000,0.000000,bottom
"C31","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",154.800000,-127.567500,-90.000000,bottom
"FB1","120Ω @ 100MHz","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",155.647500,-110.800000,180.000000,bottom
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",137.000000,-130.500000,180.000000,bottom
"FID4","Fiducial","Fiducial_0.5mm_Mask1mm",163.900000,-78.000000,180.000000,bottom
"J2","SM04B-GHS","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",162.050000,-104.341667,-90.000000,bottom
"J3","SM04B-GHS","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",162.050000,-124.175000,-90.000000,bottom
"J4","SM02B-GHS","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",162.050000,-95.675000,-90.000000,bottom
"J5","SM04B-GHS","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",162.050000,-114.258333,-90.000000,bottom
"J6","SM02B-GHS","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",151.425000,-76.450000,0.000000,bottom
"LED1","19-337C/RSBHGHC-A88/4T","19-337C RSBHGHC-A88 4T",137.700000,-99.300000,-90.000000,bottom
"LED2","19-337C/RSBHGHC-A88/4T","19-337C RSBHGHC-A88 4T",137.700000,-94.250000,90.000000,bottom
"R5","10kΩ 5%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",150.800000,-122.500000,180.000000,bottom
"R6","91Ω 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",137.100000,-103.087500,90.000000,bottom
"R7","200Ω 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.700000,-103.087500,90.000000,bottom
"R8","91Ω 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",140.300000,-103.087500,90.000000,bottom
"R9","91Ω 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",140.200000,-90.587500,-90.000000,bottom
"R10","200Ω 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.600000,-90.587500,-90.000000,bottom
"R11","91Ω 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",137.000000,-90.587500,-90.000000,bottom
"R12","10kΩ 5%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",155.902500,-120.600000,180.000000,bottom
"U1","MP6550","MP6550GG",156.600000,-124.700000,-90.000000,bottom
"U2","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",150.900000,-125.000000,180.000000,bottom
"U3","BNO085","LGA-28_5.2x3.8mm_P0.5mm",151.600000,-119.600000,180.000000,bottom
"U4","TSR 3-2450N","Traco_TSR 3-2450N",157.500000,-87.200000,-90.000000,bottom
"U5","RTL8152B","RTL8152B",151.000000,-108.300000,-90.000000,bottom
"U6","TS8121CMHF","TS8121CM HF",147.160401,-101.005000,0.000000,bottom
"Y1","ABM8G-25.000MHZ-18-D2Y-T","Crystal_SMD_3225-4Pin_3.2x2.5mm",145.600000,-108.700000,180.000000,bottom
"C1","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.167500,-82.640000,0.000000,top
"C2","1uF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",158.767500,-84.840000,180.000000,top
"C5","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",160.300000,-125.200000,0.000000,top
"C6","470nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",160.300000,-123.500000,0.000000,top
"C12","1nF 2kV","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",151.800000,-98.800000,-90.000000,top
"C15","470nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",152.700000,-103.005000,-90.000000,top
"C16","10nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.700000,-96.700000,180.000000,top
"C17","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",151.000000,-105.300000,180.000000,top
"C20","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.667500,-109.700000,0.000000,top
"C21","4.7uF 16V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.667500,-108.600000,0.000000,top
"C24","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.300000,-112.600000,-90.000000,top
"C25","1uF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",154.200000,-112.600000,-90.000000,top
"C26","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",153.100000,-112.600000,-90.000000,top
"C27","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",149.067500,-111.300000,180.000000,top
"C28","100nF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",147.400000,-105.132500,90.000000,top
